Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
488.64,8793.3,628.22,15186,546.36,12722,474.53,15695,567.26,13933,637.88,13521
487.55,8911.9,626.86,15326,545.25,12861,473.93,15830,566.79,13989,636.95,13644
486.47,9032.2,625.5,15466,544.14,13002,473.33,15968,566.33,14043,636.02,13768
485.38,9154.4,624.13,15605,543.02,13143,472.73,16107,565.86,14097,635.09,13893
484.3,9278.3,622.76,15743,541.9,13285,472.13,16250,565.39,14149,634.15,14020
483.22,9404.1,621.38,15881,540.78,13428,471.53,16394,564.91,14200,633.21,14148
482.14,9531.7,619.99,16018,539.65,13572,470.92,16541,564.43,14250,632.26,14278
481.06,9661.2,618.6,16154,538.53,13718,470.31,16691,563.95,14299,631.31,14409
479.99,9792.7,617.2,16290,537.4,13867,469.7,16843,563.46,14347,630.36,14541
478.92,9926.2,615.79,16425,536.27,14020,469.09,16998,562.97,14393,629.41,14674
477.85,10062,614.37,16559,535.14,14175,468.47,17155,562.48,14439,628.45,14809
476.78,10199,612.95,16693,534,14333,467.85,17315,561.98,14483,627.49,14945
475.71,10339,611.52,16825,532.87,14495,467.23,17477,561.48,14527,626.53,15083
474.65,10480,610.08,16957,531.73,14660,466.61,17643,560.97,14569,625.57,15222
473.59,10624,608.64,17089,530.59,14828,465.99,17811,560.46,14611,624.6,15362
472.53,10770,607.18,17219,529.45,15000,465.36,17981,559.94,14653,623.63,15504
471.47,10918,605.72,17349,528.31,15175,464.74,18155,559.42,14696,622.65,15647
470.41,11069,604.25,17477,527.17,15353,464.11,18331,558.9,14741,621.67,15792
469.36,11221,602.77,17605,526.02,15535,463.48,18511,558.37,14787,620.69,15938
468.31,11376,601.28,17732,524.88,15721,462.85,18693,557.84,14834,619.71,16086
467.26,11534,599.78,17858,523.74,15910,462.21,18879,557.3,14883,618.72,16235
466.21,11693,598.27,17984,522.59,16104,461.58,19067,556.76,14933,617.73,16386
465.17,11856,596.76,18111,521.44,16301,460.94,19258,556.22,14985,616.74,16539
464.13,12020,595.23,18238,520.3,16502,460.3,19453,555.67,15037,615.75,16696
463.09,12188,593.7,18367,519.15,16708,459.66,19651,555.12,15091,614.75,16858
462.05,12358,592.16,18497,518.01,16917,459.02,19852,554.56,15147,613.75,17025
461.02,12530,590.6,18629,516.86,17131,458.38,20056,554,15204,612.75,17195
459.98,12705,589.04,18762,515.71,17349,457.73,20264,553.44,15261,611.74,17371
458.95,12883,587.47,18896,514.57,17572,457.09,20475,552.87,15321,610.74,17551
457.92,13064,585.89,19031,513.42,17799,456.44,20689,552.3,15381,609.73,17736
456.9,13247,584.3,19168,512.27,18031,455.79,20907,551.72,15443,608.72,17926
455.88,13433,582.7,19306,511.13,18267,455.14,21128,551.14,15506,607.71,18121
454.86,13622,581.1,19445,509.98,18509,454.49,21353,550.56,15570,606.69,18321
453.84,13815,579.48,19586,508.84,18756,453.84,21582,549.97,15636,605.68,18527
452.82,14010,577.86,19728,507.7,19008,453.19,21815,549.38,15702,604.67,18738
451.81,14208,576.22,19871,506.56,19265,452.53,22051,548.78,15770,603.65,18954
450.8,14409,574.58,20015,505.42,19527,451.88,22291,548.18,15840,602.64,19176
449.79,14614,572.93,20161,504.28,19796,451.22,22535,547.57,15910,601.62,19404
448.78,14822,571.26,20308,503.14,20070,450.56,22783,546.97,15982,600.61,19637
447.78,15033,569.59,20456,502,20350,449.91,23035,546.36,16055,599.59,19877
446.78,15247,567.91,20606,500.87,20636,449.25,23291,545.74,16129,598.57,20123
445.78,15465,566.23,20757,499.73,20928,448.59,23551,545.12,16204,597.56,20375
444.79,15686,564.53,20909,498.6,21226,447.93,23816,544.5,16281,596.54,20634
443.79,15911,562.82,21063,497.47,21532,447.27,24085,543.87,16358,595.53,20900
442.8,16140,561.11,21221,496.35,21843,446.61,24358,543.24,16438,594.52,21173
441.82,16372,559.38,21385,495.22,22162,445.94,24636,542.61,16518,593.5,21453
440.83,16608,557.65,21555,494.1,22488,445.28,24918,541.97,16599,592.49,21740
439.85,16848,555.91,21730,492.98,22821,444.62,25205,541.32,16682,591.48,22035
438.87,17091,554.17,21910,491.86,23162,443.95,25497,540.68,16766,590.47,22337
437.89,17339,552.42,22097,490.75,23510,443.29,25794,540.03,16851,589.47,22648
436.92,17590,550.66,22289,489.63,23867,442.62,26095,539.38,16937,588.46,22967
435.95,17846,548.89,22487,488.52,24231,441.96,26402,538.72,17025,587.46,23294
434.98,18106,547.12,22692,487.42,24604,441.29,26713,538.06,17114,586.46,23629
434.01,18369,545.34,22902,486.31,24986,440.62,27030,537.4,17204,585.46,23969
433.05,18637,543.56,23118,485.22,25376,439.96,27352,536.73,17295,584.46,24314
432.09,18908,541.77,23341,484.12,25776,439.29,27678,536.06,17388,583.47,24664
431.13,19183,539.98,23570,483.03,26185,438.62,28011,535.38,17482,582.48,25020
430.17,19463,538.18,23806,481.94,26604,437.96,28348,534.7,17577,581.49,25380
429.22,19746,536.38,24048,480.85,27032,437.29,28691,534.02,17673,580.5,25746
428.27,20033,534.58,24298,479.77,27469,436.62,29040,533.34,17771,579.51,26117
427.33,20325,532.77,24554,478.69,27915,435.95,29394,532.65,17870,578.53,26494
426.38,20620,530.96,24817,477.62,28370,435.28,29754,531.95,17972,577.55,26876
425.44,20920,529.15,25087,476.55,28834,434.61,30120,531.26,18076,576.57,27263
424.5,21225,527.34,25364,475.48,29309,433.95,30492,530.56,18182,575.59,27657
423.56,21533,525.52,25646,474.42,29793,433.28,30869,529.86,18290,574.62,28056
422.63,21847,523.7,25934,473.36,30287,432.61,31254,529.15,18401,573.64,28461
421.7,22164,521.88,26229,472.31,30791,431.94,31644,528.44,18514,572.67,28871
420.77,22487,520.06,26530,471.26,31307,431.27,32041,527.73,18628,571.7,29288
419.84,22814,518.24,26837,470.21,31833,430.61,32445,527.01,18746,570.74,29711
418.92,23146,516.42,27151,469.17,32371,429.94,32855,526.3,18865,569.77,30140
418,23482,514.59,27472,468.13,32920,429.27,33272,525.57,18987,568.81,30576
417.08,23824,512.77,27799,467.1,33481,428.6,33697,524.85,19111,567.85,31018
416.16,24170,510.95,28134,466.07,34054,427.94,34128,524.12,19237,566.89,31466
415.25,24521,509.12,28476,465.05,34640,427.27,34566,523.39,19366,565.93,31921
414.34,24878,507.3,28825,464.03,35239,426.6,35012,522.66,19497,564.98,32383
413.43,25239,505.48,29182,463.02,35851,425.94,35466,521.92,19630,564.03,32851
412.53,25606,503.65,29547,462.01,36476,425.27,35927,521.18,19766,563.08,33326
411.62,25978,501.83,29920,461.01,37116,424.61,36396,520.44,19904,562.13,33808
410.72,26355,500.01,30301,460.01,37767,423.94,36873,519.7,20045,561.18,34293
409.82,26738,498.2,30690,459.01,38427,423.28,37358,518.95,20188,560.24,34783
408.93,27127,496.38,31088,458.02,39096,422.61,37852,518.2,20334,559.3,35276
408.03,27521,494.56,31495,457.04,39773,421.95,38354,517.45,20482,558.36,35774
407.14,27920,492.75,31910,456.06,40459,421.29,38864,516.7,20632,557.42,36276
406.26,28326,490.94,32336,455.08,41153,420.63,39384,515.94,20785,556.48,36781
405.37,28737,489.13,32770,454.11,41856,419.97,39912,515.19,20941,555.55,37290
404.49,29154,487.33,33215,453.14,42567,419.31,40450,514.42,21100,554.61,37804
403.61,29577,485.53,33670,452.17,43287,418.65,40997,513.66,21261,553.68,38320
402.73,30006,483.73,34135,451.21,44015,417.99,41554,512.9,21424,552.75,38841
401.85,30441,481.93,34611,450.25,44751,417.33,42121,512.13,21591,551.82,39365
400.98,30883,480.14,35098,449.3,45496,416.67,42698,511.36,21760,550.89,39893
400.1,31331,478.35,35596,448.35,46249,416.02,43284,510.59,21931,549.96,40424
399.24,31785,476.57,36107,447.4,47010,415.36,43882,509.82,22106,549.03,40959
398.37,32246,474.79,36629,446.46,47779,414.71,44490,509.04,22284,548.1,41497
397.5,32714,473.02,37163,445.52,48556,414.06,45109,508.26,22464,547.18,42038
396.64,33188,471.25,37710,444.58,49341,413.4,45739,507.49,22647,546.25,42583
395.78,33669,469.49,38271,443.65,50134,412.75,46380,506.71,22832,545.33,43130
394.92,34156,467.73,38845,442.72,50935,412.1,47033,505.92,23019,544.4,43681
394.07,34651,465.97,39433,441.79,51744,411.46,47698,505.14,23208,543.48,44235
393.22,35153,464.23,40036,440.87,52560,410.81,48375,504.35,23398,542.56,44792
392.37,35661,462.48,40653,439.94,53384,410.16,49063,503.57,23590,541.63,45351
391.52,36176,460.75,41286,439.02,54215,409.52,49761,502.78,23784,540.71,45914
390.67,36698,459.02,41935,438.1,55053,408.87,50471,501.99,23980,539.79,46478
389.83,37226,457.3,42601,437.19,55899,408.23,51192,501.19,24178,538.86,47046
388.99,37760,455.58,43283,436.28,56751,407.59,51925,500.4,24378,537.94,47616
388.15,38302,453.88,43983,435.37,57611,406.95,52669,499.6,24579,537.02,48189
387.31,38850,452.18,44702,434.46,58477,406.31,53425,498.8,24783,536.09,48764
386.47,39406,450.48,45439,433.55,59350,405.67,54193,498,24988,535.17,49341
385.64,39968,448.8,46195,432.64,60229,405.04,54974,497.2,25195,534.25,49920
384.81,40537,447.12,46972,431.74,61115,404.4,55767,496.4,25405,533.32,50502
383.98,41113,445.45,47770,430.84,62006,403.77,56573,495.59,25616,532.4,51085
383.15,41697,443.79,48590,429.94,62904,403.13,57392,494.79,25829,531.47,51671
382.33,42287,442.14,49432,429.04,63808,402.5,58224,493.98,26045,530.54,52258
381.5,42885,440.5,50297,428.14,64717,401.87,59070,493.17,26262,529.62,52847
380.68,43490,438.87,51187,427.24,65632,401.25,59929,492.36,26481,528.69,53438
379.86,44103,437.24,52101,426.35,66552,400.62,60803,491.55,26703,527.76,54030
379.04,44723,435.63,53042,425.45,67477,399.99,61690,490.73,26927,526.83,54624
378.23,45350,434.02,54010,424.56,68407,399.37,62592,489.92,27152,525.89,55219
377.41,45985,432.43,55006,423.67,69342,398.75,63509,489.1,27380,524.96,55816
376.6,46628,430.85,56032,422.78,70282,398.12,64442,488.28,27610,524.03,56414
375.79,47278,429.27,57087,421.88,71225,397.5,65389,487.46,27843,523.09,57013
374.98,47936,427.71,58170,420.99,72173,396.89,66352,486.63,28077,522.15,57613
374.18,48602,426.16,59276,420.1,73125,396.27,67331,485.81,28314,521.22,58214
373.37,49275,424.62,60406,419.21,74081,395.65,68326,484.98,28552,520.28,58816
372.57,49957,423.09,61560,418.32,75041,395.04,69338,484.16,28794,519.33,59419
371.76,50646,421.57,62740,417.43,76003,394.43,70367,483.33,29037,518.39,60022
