Distance L-deH,Bulk Modulus L-deH,Distance LH,Bulk Modulus LH,Distance L-deM,Bulk Modulus L-deM,Distance LM,Bulk Modulus LM,Distance de-LMH,Bulk Modulus de-LMH,Distance LMH,Bulk Modulus LMH
260.73,3.1327e+05,296.92,1.7522e+06,289.74,6.3153e+05,323.14,8.0019e+05,350.26,1.1587e+05,358.79,3.5419e+05
260.01,3.1686e+05,296.53,1.7857e+06,289.07,6.4313e+05,322.79,8.1435e+05,349.36,1.1708e+05,357.92,3.6106e+05
259.3,3.205e+05,296.14,1.8196e+06,288.4,6.5492e+05,322.45,8.2878e+05,348.47,1.1829e+05,357.06,3.6807e+05
258.58,3.2417e+05,295.75,1.8542e+06,287.74,6.6688e+05,322.11,8.4348e+05,347.57,1.1953e+05,356.21,3.752e+05
257.87,3.2788e+05,295.37,1.8892e+06,287.08,6.7903e+05,321.77,8.5845e+05,346.68,1.2077e+05,355.37,3.8247e+05
257.16,3.3163e+05,294.98,1.9249e+06,286.42,6.9136e+05,321.43,8.7371e+05,345.79,1.2203e+05,354.53,3.8988e+05
256.44,3.3542e+05,294.6,1.9611e+06,285.77,7.0388e+05,321.09,8.8926e+05,344.9,1.2331e+05,353.7,3.9742e+05
255.73,3.3925e+05,294.22,1.9978e+06,285.12,7.1658e+05,320.75,9.051e+05,344,1.246e+05,352.87,4.0511e+05
255.01,3.4312e+05,293.84,2.0352e+06,284.48,7.2947e+05,320.42,9.2124e+05,343.11,1.2591e+05,352.06,4.1293e+05
254.3,3.4704e+05,293.47,2.0731e+06,283.84,7.4255e+05,320.09,9.3769e+05,342.22,1.2724e+05,351.24,4.209e+05
253.59,3.5099e+05,293.09,2.1115e+06,283.2,7.5582e+05,319.76,9.5445e+05,341.34,1.2858e+05,350.44,4.2902e+05
252.87,3.5498e+05,292.72,2.1506e+06,282.57,7.6928e+05,319.43,9.7153e+05,340.45,1.2993e+05,349.63,4.3728e+05
252.16,3.5902e+05,292.35,2.1902e+06,281.93,7.8293e+05,319.1,9.8893e+05,339.56,1.3131e+05,348.84,4.4569e+05
251.45,3.631e+05,291.97,2.2305e+06,281.3,7.9677e+05,318.77,1.0067e+06,338.68,1.327e+05,348.05,4.5425e+05
250.74,3.6722e+05,291.61,2.2713e+06,280.68,8.108e+05,318.45,1.0247e+06,337.79,1.341e+05,347.27,4.6297e+05
250.03,3.7138e+05,291.24,2.3128e+06,280.06,8.2503e+05,318.13,1.0432e+06,336.91,1.3553e+05,346.49,4.7184e+05
249.31,3.7559e+05,290.87,2.3548e+06,279.44,8.3944e+05,317.81,1.0619e+06,336.03,1.3697e+05,345.72,4.8087e+05
248.6,3.7984e+05,290.5,2.3974e+06,278.82,8.5405e+05,317.49,1.0811e+06,335.15,1.3843e+05,344.95,4.9005e+05
247.89,3.8413e+05,290.14,2.4407e+06,278.21,8.6886e+05,317.17,1.1006e+06,334.27,1.3991e+05,344.19,4.994e+05
247.18,3.8847e+05,289.78,2.4845e+06,277.6,8.8385e+05,316.85,1.1205e+06,333.39,1.4141e+05,343.44,5.0891e+05
246.47,3.9286e+05,289.42,2.529e+06,276.99,8.9904e+05,316.54,1.1407e+06,332.51,1.4292e+05,342.69,5.1859e+05
245.76,3.9728e+05,289.06,2.574e+06,276.38,9.1445e+05,316.22,1.1614e+06,331.64,1.4445e+05,341.94,5.2843e+05
245.05,4.0176e+05,288.7,2.6197e+06,275.78,9.3009e+05,315.91,1.1824e+06,330.76,1.4601e+05,341.21,5.3844e+05
244.34,4.0628e+05,288.34,2.666e+06,275.18,9.4598e+05,315.6,1.2039e+06,329.89,1.4758e+05,340.47,5.4861e+05
243.63,4.1085e+05,287.98,2.713e+06,274.58,9.621e+05,315.29,1.2258e+06,329.02,1.4917e+05,339.74,5.5896e+05
242.92,4.1546e+05,287.62,2.7605e+06,273.98,9.7848e+05,314.99,1.2481e+06,328.14,1.5079e+05,339.02,5.6948e+05
242.21,4.2012e+05,287.27,2.8087e+06,273.39,9.951e+05,314.68,1.2708e+06,327.27,1.5242e+05,338.3,5.8018e+05
241.5,4.2483e+05,286.92,2.8575e+06,272.8,1.012e+06,314.38,1.294e+06,326.4,1.5407e+05,337.59,5.9105e+05
240.79,4.2959e+05,286.56,2.9069e+06,272.21,1.0291e+06,314.08,1.3176e+06,325.54,1.5575e+05,336.88,6.0209e+05
240.08,4.3439e+05,286.21,2.957e+06,271.63,1.0465e+06,313.78,1.3417e+06,324.67,1.5744e+05,336.17,6.1332e+05
239.37,4.3925e+05,285.86,3.0077e+06,271.04,1.0641e+06,313.48,1.3662e+06,323.81,1.5916e+05,335.47,6.2472e+05
238.66,4.4415e+05,285.51,3.059e+06,270.46,1.082e+06,313.18,1.3913e+06,322.94,1.609e+05,334.78,6.3631e+05
237.95,4.491e+05,285.16,3.1109e+06,269.88,1.1002e+06,312.88,1.4168e+06,322.08,1.6266e+05,334.09,6.4807e+05
237.24,4.5411e+05,284.81,3.1635e+06,269.31,1.1186e+06,312.59,1.4429e+06,321.22,1.6445e+05,333.4,6.6002e+05
